IATA;NomeCompagnia
AVS;Aviation Services
AVZ;Southern Jersey Airways
AWA;Air West Airlines
AWQ;Aermediterranea S.P.A.
AX;Trans States Airlines
AXQ;Aeron Int'l Airlines Inc.
AY;Finnair Oy
AYQ;Aerodan S.A. De C.V.
AZ;Alitalia-Linee Aeree Italia
AZP;Arizona Pacific Airways
AZQ;Anglo Airlines Ltd.
B4;Globespan Airways Limited d/b/a Flyglobespan
B6;JetBlue Airways
BA;British Airways Plc
BAA;Aero International Airlines
BAC;Business Aircraft Corp.
BAH;Brennan & Hargreaves Inc.
BAK;Bankair Inc.
BAN;Bangor International Air
BAQ;Aero Rentas De Coahuila S.A. De C.V.
BAR;Bard-Air Corp.
BAT;West Penn Commuter
BAY;Burlington Aeroplane Co.
BBQ;Balair Ag
BCA;Baja Cortez Airlines
BCQ;Bradley Air Services Ltd.
BD;British Midland Airways Ltd.
BDE;Jet Express
BDQ;Aerotaxis De Aguascalientes S.A. De C.V.
BE;Braniff Int'l Airlines Inc.
BEA;Business Express Airlines
BEN;Bennington Aviation Inc.
BEQ;Air Belgium
BEY;Beyer Aviation
BF;Markair Inc.
BFG;Million Air
BFQ;Buffalo Airways Inc.
BG;Biman Bangladesh Airlines
BGQ;Airbus Transport Internat'l
BHK;Blackhawk Airways Inc.
BHO;Bighorn Airways Inc.
BIA;Big Island Air
BIQ;Servicios Aeronauticos Z S.A. De C.V.
BIR;Birchwood Air Service
BJQ;Taxirey S.A. De C.V.
BLQ;Air Bvi Limited
BM;Belize Air Int'l Ltd.
BMT;Bremerton Aviation Inc.
BN;Britannia Airways GmbH
BNQ;Netjets Large Aircraft Company L.L.C.
BOA;Boise Air Service
BOI;Bo-S-Aire Airlines Inc.
BOQ;Transp. Aereos Bolivianos
BQ;Aeromar C. Por A.
BR;Eva Airways Corporation
BRK;Barken International
BRO;Brower Airways Inc.
BRQ;Thomas Cook Airlines Uk Ltd.
BRW;Barrow Air
BTQ;Brasair Transportes Aereos
BUH;Business Helicopters
BUQ;Wrangler Aviation Inc.
BUR;Burlington Airways Inc.
BW;British West Indian Airways
BXQ;Spantax S. A.
BY;Britannia Airways Ltd.
BYA;Bay Air
C6;Canjet Airlines
C8;Chicago Express Airlines
CA;Air China
CAC;Coleman Air Transport
CAF;California Seaboard
CAI;Crawford Aviation Inc.
CAM;C & M Airlines
CAP;Metro Air Northeast N Y
CAQ;Challenge Air Luftverkehrs GmbH
CAT;Catalina Airlines Inc.
CAV;Air Virginia
CAZ;CAT Aviation
CB;Air One Inc.
CBA;Carriba Air Inc.
CBQ;Copper River Air Taxi
CC;Air Atlanta Icelandic
CCA;Cityhop
CCO;Chester County Aviation
CDQ;Kitty Hawk International
CEN;Cen-Tex Airlines Inc.
CEQ;All Canada Express
CF;Compan. De Aviacion Faucett
CGA;Chicago Airlines
CGL;Viking Int'l Airlines Inc.
CGO;Chicago Air Taxi
CH;Bemidji Airlines
CHD;Chandler Flyer
CHE;Charter Airlines
CHF;Hammonds Commuter Air Serv.
CHI;Chitina Air Service
CHL;Channel Flying Inc.
CHO;Choi Aviation Inc.
CHS;Christman Air System
CHT;Charter One
CI;China Airlines Ltd.
CIQ;A/S Conair
CIS;Cal Sierra Airlines
CJ;Colgan Airways Inc.
CK;China Cargo Airline
CKI;Inlet Airlines
CL;Capitol International Inc.
CLB;Columbia Pacific Airlines
CLD;Hawaii Pacific Helicopters
CLF;California Air Shuttle
CLQ;Aero Transcolombiana
CMB;Combs Airways Inc.
CMD;Command Airways Inc.
CMQ;Servicio De Carga Aerea Sa
CNN;Centennial Airlines
CO;Continental Air Lines Inc.
COB;Cotton Belt Aviation Inc.
COC;Cochise Airlines Inc.
COK;Coker Aviation Inc.
COL;Presidential Express
COM;Commutair
COR;Coral Air Inc.
COS;Cosmopolitan Comm. Airline
COT;Southeastern Commuter
COU;Courtesy Air Service Inc.
CP;Compass Airlines
CPA;Capitol Air Lines
CPC;Coastal Plains Commuter Inc.
CPQ;Capitol Air Express Inc.
CPT;Capitol Air
CQI;Conquest Airline Corp.
CRA;Commuter Airlines
CRB;Caribair
CRE;Caribbean Express Inc.
CRH;Cresent Medivac
CRN;Crown Aviaiton Inc.
CRO;Crown Airways Inc.
CRP;Corporate Air
CRT;Crested Butte Air Service
CS;Continental Micronesia
CSA;Casino Airlines
CSK;Catskill Airways Inc.
CSL;Central States Air Lines
CSM;Chisum Flying Service
CSQ;Celtic Tech Jet Ltd.
CTA;Century Airlines
CTH;Cothron Aviation
CTL;Coastal Air Transport
CTQ;Custom Air Transport
CTR;Chartair
CUQ;Caicos Caribbean Airways
CUS;Custom Air Service
CV;Cargolux Airlines Int'l S.A
CVA;Catalina-Vegas Airlines
CVQ;Caraven S.A.
CW;Air Marshall Islands Inc.
CWQ;Canadian Aviation Express
CX;Cathay Pacific Airways Ltd.
CYQ;Corse Air International
CZ;China Southern Airlines
CZQ;Aviation Concepts
DA;Dan Air Services
DAN;Danbury Airlines
DAU;Dauphin Island Airways
DC;Caribbean Air Cargo Co Ltd.
DE;Condor Flugdienst
DEA;Downeast Airlines Inc.
DEC;Decatur Aviation
DFS;Downeast Flying Service
DH;Independence Air
DHL;DHL Airlines Inc.
DHQ;DHL Aero Expresso
DIA;Drummond Island Air
DIC;Dickman Aviation Services
DIR;Northern Star
DL;Delta Air Lines Inc.
DM;Maersk Air I/S
DO;Compania Dominicana De Avia
DOL;Dolphin Airways Inc.
DOQ;Aerolineas Dominicanas S A
DPA;Desert Pacific Airways
DPI;Desert Pacific Airlines Inc.
DQQ;Caribwest Airways Ltd.
DSA;Desert Sun Airlines
DST;Desert Airlines
DUL;Dulles Express
DUZ;Summit Airlines Inc.
DVO;Devoe Airlines
DWN;Dawn Air
DXA;Dolphin Express
E7;Estafeta Carga Aereas
E72;European Aviation Air Charter
E8;USAfrica Airways Inc.
E9;Boston-Maine Airways
EA;Eastern Air Lines Inc.
EAI;Executive Aviation Inc.
EAS;Eastern Caribbean Airways
EAT;Eastman Airways Inc.
EBQ;Execaire Aviation Ltd.
ECI;Eastern Carolina Aviation
ECL;Eclipse Airlines
ECQ;Trans American Charter
ECR;East Coast Airways
ED;Andes
EDE;Ede Aire
EET;Exec Express II
EEX;Exec Express
EEZ;Eagle Aviation Inc.
EFA;Executive Four Winds
EFQ;Trans Europ. Airways France
EGA;Eagle Airline
EGJ;Eagle Jet Charter
EGL;Eagle Commuter Airlines Inc.
EH;Saeta Airlines
EHA;East Hampton Aire Inc.
EI;Aer Lingus Plc
EIA;East. Indiana Aviation Sale
EJQ;Aeroejecutivos C.A.
EK;Emirates
EKA;Air Pacific Inc.
ELL;Ellis Air Taxi Inc.
EM;Empire Airlines Inc.
EMA;Emerald Airlines
EME;Metro Express
ENT;Enterprise Airlines Inc.
EOQ;Aeroservicios Ecuatorianos
EP;All Star Airlines Inc.
ER;Astar Air Cargo Inc.
ERI;Erie Airways Inc.
ERO;Empire Aero Service
ESQ;Seagreen Air Transport
ET;Ethiopian Airlines
EU;Ecuatoriana De Aviacion
EUQ;Air Atlanta Europe
EV;Atlantic Southeast Airlines
EVA;Evanston Aviation
EWA;Rio Grande Air
EXC;Executive Charter
EXP;Express Airlines II
EXQ;Export Air Del Peru S.A.
EXR;Executive Transport
EY;Etihad Airways
EZ;Evergreen Int'l Inc.
F2;Omega Air Holdings d/b/a Focus Air
F8;Freedom Airlines d/b/a HP Expr
F9;Frontier Airlines Inc.
FAA;Falwell Aviation Inc.
FAC;Falcon Airways Inc.
FAR;Federal Armored Service Inc.
FB;Translift Airways Limited
FBI;Young Flying Service
FCA;Southern Airlines Inc.
FCQ;Falcon Air Express
FD;Air Puerto Rico Airlines
FDA;Florida Airlines Inc.
FDM;Freedom Airlines Inc.
FDQ;Great American Airways
FE;Primaris Airlines Inc.
FF;Tower Air Inc.
FFQ;Five Star Airlines
FH;Frontier Horizon Inc.
FI;Icelandair
FJ;Air Pacific Ltd.
FL;AirTran Airways Corporation
FLA;Florida Air
FLM;Flamenco Airways Inc.
FLR;Flirite Inc.
FNQ;Fine Airlines Inc.
FOR;Ford-Aire Inc.
FOS;Foster Aviation
FQ;Air Aruba
FRA;Freedom Air
FRS;Four Star Aviation
FRT;Frontier Commuter
FRW;Farwest Airlines
FS;Serv De Trans Aereos Fuegui
FSA;F.S. Air Service
FT;Flying Tiger Line Inc.
FTI;Southern Airways
FVA;Skycraft Inc.
FW;Skybus Inc.
FWA;Far West Airlines
FX;Federal Express Corporation
FYB;Flying Boat
G3;Aerochago S.A.
G4;Allegiant Air
GA;P.T. Garuda Indonesian Arwy
GAL;Galena Air Service
GAQ;Galaxy Airlines Inc.
GAS;General Aviation Inc.
GAT;Gulf Air Taxi
GAV;Gromer Aviation Inc.
GBA;Central States Airline
GBQ;G5 Executive Ag
GCA;Golden Carriage Aire
GCH;Grand Canyon Helicopters
GCQ;General Air Cargo
GCS;Midway Commuter
GD;Transp. Aereos Ejecutivos
GDW;Golden West Airlines Inc.
GE;Lufthansa Cargo Airlines
GF;Gulf Air Company
GFC;Gulf Flite Center
GFQ;Gulf And Caribbean Cargo
GH;Ghana Airways Corporation
GHA;Green Hills Aviation Ltd.
GIQ;Global Int'l Airways Corp.
GJ;Eurofly S.p.A
GKQ;Laker Airways
GL;Miami Air International
GLW;Golden West Airlines Co.
GM;Air America
GMA;Green Mountain Airlines Ltd.
GOF;Copper State Airlines
GPA;GP Express Airlines
GQ;Big Sky Airlines Inc.
GR;Gemini Air Cargo Airways
GRA;Gorda Aero Service
GRD;Grand Canyon Airlines
GRO;Isle Royale Seaplane Serv.
GS;Air Foyle Limited
GSA;Golden Gate Airlines Inc.
GSC;GCS Air Service
GSL;Golden South Airlines Inc.
GSQ;Global Supply System
GST;Golden State Airlines
GU;Aviateca
GUL;Gull Air Inc.
GUN;Gunnel Aviation Inc.
GV;Grant Aviation
GW;Central American Airlines
GWA;Great Western Aviation
GWE;Ross Aviation Inc.
GX;Air Ontario Limited
GY;Guyana Airways Corporation
H2;City Bird
H5;Magadan Airlines
H6;Hageland Aviation Service
HA;Hawaiian Airlines Inc.
HAQ;Hapag Lloyd Flug.
HAR;Friendship Air Alaska
HB;Homer Air
HBQ;Harris Air Services
HCQ;Av Atlantic
HEL;Helitrans
HEP;Hub Express
HER;Markair Express
HET;Helitac Aviation
HEU;Heussler Air Service Corp
HFQ;Haiti Air Freight Intl
HFS;Hensley Flying Service Inc.
HIQ;Business Flights Ltd.
HJ;Air Haiti S. A.
HK;Time Air Sweden Ab
HLQ;Heavylift Cargo Airlines Lt
HMZ;Long Island Airlines
HNS;Haines Airways
HOL;Holiday Airlines Inc.
HOQ;Holidair Airways
HOR;Iowa Airlines
HPZ;Pacific Coast Airlines
HQ;Harmony Airways
HQQ;Harlequin Air Corporation
HRA;Trans-National Airlines Haw
HRG;Heritage Airlines
HRQ;Tar Airlines
HRZ;Allegheny Airlines
HSV;Harbor Air Service
HSZ;Scenic Airlines Inc.
HU;Hainan Airlines Company Limited
HUB;Skystream Airlines
HVQ;Transavia Holland B. V.
HWK;Hawking Corporation
HX;Guy-America Airways Inc.
HY;Uzbekistan Airways
HYA;Hyannis Aviation
IA;Iraqi Airways
IB;Iberia Air Lines Of Spain
ICF;Iowa City Flying Service
ICH;Island Air Charters
ICQ;Iscargo Hf
IDQ;Intl Air Service Co. Ltd.
IEX;Island Air Express
III;Idee Industries Inc.
IKQ;Tradewinds Airways Ltd.
IMP;Imperial Airlines Inc.
IN;Aerlinte Eireann Teoranta
INA;Inland Empire Airlines Inc.
INQ;Independent Air Inc.
IOW;Iowa Airways
IPI;Indo-Pacific International
IPQ;Aruba Cargo
IPS;Island Express
IR;Iran National Airlines Corp
IRQ;Interstate Airlines Inc.
IS;Island Airlines Inc.
ISL;Island Airlines
ITQ;Interamericana De Aviacion
IW;Air Liberte Aka Aom Minerve
IXQ;Inair
J5;Alaska Seaplane Service
J6;Larrys Flying Service
J7;Valujet Airlines Inc.
JAG;JetAlliance Flugbetriebs d/b/a JAF Airservice
JAM;Sunbelt Airlines Inc.
JAQ;Jamaica Air Freighters
JB;Helijet International Inc.
JCM;Air Chico
JCQ;Jet Connection Businessflight Ag
JCZ;Rocky Mountain Airways Inc.
JD;Japan Air System Co. Ltd.
JER;Jer-Don Air
JF;L.A.B. Flying Service Inc.
JI;Jade Cargo International
JIQ;Jet Fleet Intl. Airlines
JJ;Transportes Aeros Meridiona
JK;Spanair S.A.
JKQ;Express One Int'l Inc.
JL;Japan Air Lines Co. Ltd.
JM;Air Jamaica Limited
JMA;Jim Air Inc.
JN;Excel Airways
JO;Jalways Co. Ltd.
JR;Aero California
JTA;Jetaire Airlines Inc.
JU;Yugoslav Airlines
JW;Arrow Air Inc.
JX;Southeast Airlines
JXQ;Allarco Developments Ltd.
JZ;Japan Air Charter Co. Ltd.
K3;Venture Travel LLC d/b/a Taquan Air Service
K5;Wings Of Alaska
K7;Arizona Express
K8;Dutch Caribbean Airlines
KA;Hong Kong Dragonair
KAH;Kenmore Air Harbor
KAI;Knight Airlines Inc.
KAQ;Kalitta Air LLC
KAT;Katmai Air
KB;Haiti Air
KE;Korean Air Lines Co. Ltd.
KEA;Keene Airways
KEE;Key Airlines
KET;Ketchikan Air Service
KFS;King Flying Service
KI;Time Air Ltd.
KIN;Golden Pacific Airlines
KKQ;Transmeridian Air Cargo Ltd.
KL;Klm Royal Dutch Airlines
KLQ;Kalitta Charters II
KM;Air Malta
KN;Morris Air Corporation
KO;Alaska Central Express
KOD;Kodiak Airways Inc.
KP;Kiwi International
KR;Kitty Hawk Aircargo
KS;Peninsula Airways Inc.
KTQ;Turks Air Ltd.
KU;Kuwait Airways Corp.
KW;Carnival Air Lines Inc.
KWQ;Kelowna Flightcraft Air Cha
KWZ;Crown Air
KX;Cayman Airways Limited
KXZ;Chaparral Airlines Inc.
KZ;Nippon Cargo Airlines
L2;Lynden Air Cargo Airlines
L4;Lynx Aviation d/b/a Frontier Airlines
LA;Lan-Chile Airlines
LAA;La Skycab Airline
LAH;La Helicopter
LAN;Lancer Aviation Inc.
LAP;Lapsa
LAR;Laredo Air
LAS;Lake Union Air Service
LAW;Lawrence Aviation
LB;Lloyd Aereo Boliviano S. A.
LBQ;Millon Air Inc.
LC;Varig Logistica S/A
LCQ;Latcr
LCT;Lake Coastal
LEQ;Le Point Air
LEX;L'Express
LF;Jettrain Airlines
LG;Luxair
LGQ;Lineas Aereas Allegro
LH;Lufthansa German Airlines
LHA;Havasu Airlines
LKN;Loken Aviation
LLA;Lakeland Aviation
LNQ;Aerolineas Latinas
LO;Polskie Linie Lotnicze
LOQ;Lorair Ltd.
LOS;Aero Commuter
LP;Lan Peru Airlines
LR;Lacsa
LRQ;Air Liberte
LSQ;Lineas Aereas Suramerican
LSZ;Alaska Island Air Inc.
LT;Luftransport-Unternehmen
LU;Air Atlantic Dominicana
LUQ;Lineas Aereas La-Tur Sa
LVA;Las Vegas Airlines
LW;Pacific Wings Airlines
LX;Swiss International Airlines
LXQ;Translux Intl Airlines
LY;El Al Israel Airlines Ltd.
LZ;Balkan Bulgarian Airlines
LZQ;Leisure Int'l Airways Ltd.
M3;ABSA-Aerolinhas Brasileiras
M6;Amerijet International
M7;Aerotransportes Mas De Crga
MA;Malev Hungarian Airlines
MAA;Maui Airlines
MAC;Mackey International Inc.
MAE;Mid-Atlantic Exp. Airlines
MAG;Magum Airlines
MAI;The Maui Commuter
MAQ;Millardair Limited
MAR;Marshall's Air Inc.
MAV;Maverick Airways
MAX;Maxair Inc.
MB;Samoa Airlines Inc.
MC;Transtar Airlines Corp.
MCO;Mid Continental Airlines In
MDC;Midcontinent Airlines
MDU;Metro Airlines
ME;Middle East Airlines S.A.L.
MEA;Manhattan Express
MET;Metroplex Airlines
MEX;Metro Express 11
MG;Champion Air
MGQ;Montana Austria Flugetrieb
MH;Malaysian Airline System
MHK;Mohawk Airlines
MHO;Mahalo Air
MIN;Minuteman Aviation Inc.
MIS;Midstate Airlines Inc.
MIY;Midway Aviation Inc.
MJ;Lapa-Lineas Aereas Privadas
MKQ;Airmark Corporation
ML;Aero Costa Rica
MLL;Miller Air Transportersinc
MLX;Merlin Express
MM;Euro Atlantic Airways
MMH;Ocean Airways Inc.
MNA;M & N Aviation
MNZ;Cumberland Airlines
MOQ;Morningstar Air Express
MP;Martinair Holland N.V.
MPA;Mid Pacific Airlines Inc.
MPC;Mid Pacific Air Corp.
MQ;American Eagle Airlines Inc.
MRC;Marco Island Airways Inc.
MRR;Merrimack Aviation Inc.
MS;Egyptair
MST;Midwest Aviation
MT;Flying Colours Airlines Ltd.
MTA;Arkansas Traveler Airline
MTR;Metroflight Airlines
MTV;Mst Aviation
MTX;Mountain Air Express
MU;China Eastern Airlines
MUA;Manu'a Air Transport
MUQ;Aerolineas Mundo
MVA;Mississippi Valley Airlines
MWA;Mountain West Airlines
MX;Compania Mexicana De Aviaci
MY;MAXjet
MZ;P.N. Merpati Nusantara Air.
N5;Skagway Air Service
N6;Aero Continente
N7;National Airlines
NA;North American Airlines
NAC;National Air Commuter Inc.
NAP;Npa Inc.
NAQ;Nationair
NAS;Nasville Eagle
NAT;National Air
NB;Sterling Cargo
NBQ;Sterling Airways A/S
NC;Northern Air Cargo Inc.
NCA;National Commuter Airlines
NCE;Northcoast Executive
ND;Intair dba Intair
NEB;New Born Wings Inc.
NEC;Nor East Commuter Airlines
NEQ;North East Cargo Airlines
NET;Nacnet
NEV;Nevada Airlines
NEW;New England Airlines Inc.
NEX;Northeast Express Regional
NFA;National Florida Airlines
NFQ;North Cariboo Flying Serv.
NG;Lauda Air Luftfahrt Ag
NGL;Northern Eagle Airways Inc.
NH;All Nippon Airways Co.
NHA;Newair Flight Inc.
NI;Lanica
NJ;Vanguard Airlines Inc.
NJA;N. J. Merrimack Airlines
NK;Spirit Air Lines
NKQ;Norcanair
NLQ;Nolinor Aviation
NN;Northward Airlines Ltd.
NOQ;Novair Airlines Ab
NPA;North Pacific Airlines Inc.
NPT;E. J. A. Newport Inc.
NQ;Air Japan Co
NRN;Northern Airlines Inc.
NSQ;North Coast Air Services
NTH;Northaire
NTQ;National Aviation Consult.
NUM;Lake State Airways
NUQ;Air Niugini
NVQ;Novair Int'l Airways Ltd.
NVX;Nevis Express
NW;Northwest Airlines Inc.
NWQ;N. W. Territorial Airways
NWS;Northwest Seaplanes
NXQ;North Vancouver Air
NY;New York Air Inc.
NYH;New York Helicopter Corp.
NZ;Air New Zealand
OA;Olympic Airways
OAK;Harbor Airlines Inc.
OB;Oasis Int'l Airlines S.A.
OC;Air California Inc.
OCR;Ocean Reef Airways Inc.
OD;Emerald Airlines Inc.
OE;Westair Airlines Inc.
OFF;Offshore Logistics
OH;Comair Inc.
OHA;Omaha Aviation
OHZ;Caribbean Air Services Inc.
OI;Prestige Airways
OIZ;Corporate Air Inc.
OK;Czech Airlines
OMH;Omniflight Helicopters
OMI;Omniflight Airways
OMK;Omak Aviation Airlines
OMN;Omni Pacific Airline
OMQ;Quassar De Mexico
ON;Air Nauru
ONQ;Nunasi-Central Airlines Ltd.
OO;Skywest Airlines Inc.
OOZ;Sun Aire Lines
OP;Flying Boat Inc.
OPQ;Orion Air
OR;TUI Airlines Nederland B.V.
ORI;Orion Air Inc.
OS;Austrian Airlines
OTT;Otter Air
OV;Aeromaritime
OW;Executive Airlines
OWQ;Ontario Worldair Limited
OWS;Air Kentucky Air Lines
OZ;Asiana Airlines Inc.
OZA;Ozark Air Lines Inc.
P9;Pro Air Inc.
PA;Florida Coastal Airlines
PAI;Permian Airways Inc.
PAQ;Patriot Airlines Inc.
PAT;Panorama Air Tours
PBA;Provincetown Boston
PBQ;Privatair
PCA;Piasa Commuter Airlines
PCL;Pacific Cal Air
PCQ;Pace Airlines
PCR;Pacair
PDA;Trans Southern Airways
PDQ;Antigua Paradise Airways
PE;Air Europe S.P.A.
PEA;Pearson Aircraft
PEQ;Prince Edward Air
PER;Air Pennsylvania
PET;Petro Aviation Corp.
PFA;Pacificair
PFQ;Asia Pacific
PH;Polynesian Airlines Ltd.
PHL;Phillips Airlines
PHR;Pinehurst Airlines Inc.
PHX;Phoenix Airlines
PI;Piedmont Aviation Inc.
PIA;Pacific Island Airways
PIQ;Pacific Int'l Airlines
PK;Pakistan Int'l Airlines
PKQ;Skyworld Airlines Inc.
PL;Aero Peru
PLA;Planes Inc.
PLQ;Planet Airways
PLZ;Polar Airways Inc.
PMA;Pacific Missionary Aviation
PMT;Pilgrim Aviation & Airlines
PN;Pan American Airways Corp.
PNM;Panama Aviation
PNQ;Panagra Airways
PNR;Pioneer Airways
PNS;Pine State Airlines
PO;Polar Air Cargo Airways
POA;Potomac Air
POC;Pocono Airlines Inc.
POL;Polar International
POM;Pompano Airways
PON;Ponderosa Aviation Inc.
POQ;Polyot Airlines
PPQ;Propair
PR;Philippine Airlines Inc.
PRA;Princeton Aviation Corp
PRD;Paradise Island Airlines
PRM;Prime Air Inc.
PRN;Puerto Rico Intl Airlines
PRO;Sundance Airlines
PRP;Propheter Aviation
PRQ;Florida West Airlines Inc.
PRR;Pro Air Services
PS;Pacific Southwest Airlines
PSA;P.S. Air Freight Inc.
PT;Capital Cargo International
PTQ;Flight International
PU;Primeras Lineas Uruguays For International
PUQ;Aeropuma
PV;Eastern Provincial Airways
PVA;Precision Valley Aviation
PW;Pacific Western Airlines
PY;Surinam Airways Limited
PZ;Lineas Aereas Paraguayas
